,online_order,Table_booking,Rating,No._of_rating,rest_type,cuisines,Avg._cost(2 person),Listed_type,Listed_city,Weighted_Rating,Avg_cost(log),No_of_rating_log
0,1,1,4.1,775,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,4.0,6.68586094706836,6.7
1,1,0,4.1,787,Casual Dining,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari,4.0,6.68586094706836,6.7
2,1,0,3.8,918,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Buffet,Banashankari,3.8,6.68586094706836,6.8
3,0,0,3.7,88,Quick Bites,"South Indian, North Indian",300.0,Buffet,Banashankari,3.7,5.707110264748875,4.5
4,0,0,3.8,166,Casual Dining,"North Indian, Rajasthani",600.0,Buffet,Banashankari,3.7,6.398594934535208,5.1
5,1,0,3.8,286,Casual Dining,North Indian,600.0,Buffet,Banashankari,3.8,6.398594934535208,5.7
6,0,0,3.6,8,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari,3.7,6.68586094706836,2.2
7,1,1,4.6,2556,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Cafes,Banashankari,4.5,6.398594934535208,7.8
8,1,0,4.0,324,Cafe,"Cafe, Italian, Continental",700.0,Cafes,Banashankari,3.9,6.55250788703459,5.8
9,1,0,4.2,504,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,4.1,6.311734809152915,6.2
10,1,0,4.1,402,Cafe,Cafe,500.0,Cafes,Banashankari,4.0,6.2166061010848646,6.0
11,1,1,4.2,150,Cafe,"Cafe, Italian, Continental",600.0,Cafes,Banashankari,3.9,6.398594934535208,5.0
12,1,1,4.2,164,Cafe,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,3.9,6.2166061010848646,5.1
13,0,0,4.0,424,Cafe,"Cafe, Continental",450.0,Cafes,Banashankari,3.9,6.111467339502679,6.1
14,1,0,3.8,918,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Cafes,Banashankari,3.8,6.68586094706836,6.8
15,1,0,3.8,90,Cafe,Cafe,650.0,Cafes,Banashankari,3.7,6.478509642208569,4.5
16,1,0,3.9,133,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,3.8,6.68586094706836,4.9
17,1,0,3.8,144,Cafe,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari,3.7,6.55250788703459,5.0
18,0,0,3.9,93,Cafe,"Cafe, Italian, American",300.0,Cafes,Banashankari,3.8,5.707110264748875,4.5
19,1,0,3.1,13,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari,3.7,5.993961427306569,2.6
20,1,0,3.0,62,Cafe,"Cafe, French, North Indian",400.0,Cafes,Banashankari,3.5,5.993961427306569,4.1
21,1,0,3.7,180,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,3.7,6.2166061010848646,5.2
22,0,0,3.6,28,Cafe,"Cafe, Fast Food",900.0,Cafes,Banashankari,3.7,6.803505257608338,3.4
23,1,0,3.6,62,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,3.7,6.398594934535208,4.1
24,0,0,3.7,31,Cafe,Cafe,300.0,Cafes,Banashankari,3.7,5.707110264748875,3.5
25,0,0,3.2,11,Cafe,"Cafe, Bakery",600.0,Cafes,Banashankari,3.7,6.398594934535208,2.5
26,1,0,3.8,75,"Cafe, Quick Bites","Cafe, South Indian",200.0,Cafes,Banashankari,3.7,5.303304908059076,4.3
27,0,0,3.3,4,Cafe,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari,3.7,6.2166061010848646,1.6
28,0,0,3.3,23,Cafe,"Cafe, Fast Food",550.0,Cafes,Banashankari,3.7,6.311734809152915,3.2
29,0,0,3.8,148,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,3.7,6.311734809152915,5.0
30,1,0,4.0,219,Cafe,"Cafe, Italian",600.0,Cafes,Banashankari,3.9,6.398594934535208,5.4
31,1,0,2.8,506,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari,3.1,6.2166061010848646,6.2
32,1,0,3.9,35,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari,3.7,6.2166061010848646,3.6
33,1,0,3.9,172,Delivery,Pizza,750.0,Delivery,Banashankari,3.8,6.621405651764134,5.2
34,1,0,4.2,415,Quick Bites,"North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari,4.0,6.2166061010848646,6.0
35,1,0,3.9,230,Delivery,Biryani,650.0,Delivery,Banashankari,3.8,6.478509642208569,5.4
36,1,0,2.8,91,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari,3.4,5.993961427306569,4.5
37,1,0,4.2,1647,Casual Dining,"Chinese, Thai, Momos",600.0,Delivery,Banashankari,4.1,6.398594934535208,7.4
38,1,0,4.4,4884,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari,4.4,6.621405651764134,8.5
39,1,0,4.0,17,Quick Bites,South Indian,150.0,Delivery,Banashankari,3.7,5.017279836814924,2.9
40,1,0,3.8,133,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,3.7,5.303304908059076,4.9
41,0,0,3.9,28,Mess,South Indian,300.0,Delivery,Banashankari,3.7,5.707110264748875,3.4
42,1,0,3.9,286,Quick Bites,"Burger, Fast Food",500.0,Delivery,Banashankari,3.8,6.2166061010848646,5.7
43,1,0,3.9,540,Quick Bites,"Pizza, Fast Food",800.0,Delivery,Banashankari,3.8,6.68586094706836,6.3
44,1,1,4.6,2556,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,Banashankari,4.5,6.398594934535208,7.8
45,0,0,3.8,36,Delivery,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,3.7,5.993961427306569,3.6
46,1,0,3.6,244,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari,3.6,5.707110264748875,5.5
47,1,0,4.0,804,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,3.9,6.111467339502679,6.7
48,1,0,3.7,679,Casual Dining,"Chinese, Thai",850.0,Delivery,Banashankari,3.7,6.7464121285733745,6.5
49,1,0,3.1,245,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,3.4,5.707110264748875,5.5
50,0,0,3.7,21,Quick Bites,North Indian,450.0,Delivery,Banashankari,3.7,6.111467339502679,3.1
51,1,0,4.1,28,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari,3.7,5.017279836814924,3.4
52,0,0,4.3,345,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery,Banashankari,4.1,5.993961427306569,5.8
53,1,0,4.0,618,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,3.9,6.621405651764134,6.4
54,0,0,4.0,1047,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,4.0,6.111467339502679,7.0
55,1,0,3.9,627,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,3.9,6.111467339502679,6.4
56,1,0,3.8,104,Quick Bites,"Biryani, Fast Food",300.0,Delivery,Banashankari,3.7,5.707110264748875,4.7
57,1,1,4.2,354,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari,4.0,6.68586094706836,5.9
58,0,0,3.6,55,Quick Bites,"Fast Food, Burger",200.0,Delivery,Banashankari,3.7,5.303304908059076,4.0
59,1,0,3.7,17,Dessert Parlor,"Desserts, Beverages",400.0,Delivery,Banashankari,3.7,5.993961427306569,2.9
60,0,0,4.2,244,Casual Dining,"Italian, North Indian, Mexican",800.0,Delivery,Banashankari,4.0,6.68586094706836,5.5
61,1,1,3.6,163,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,3.7,6.68586094706836,5.1
62,1,0,3.8,58,Quick Bites,Chinese,150.0,Delivery,Banashankari,3.7,5.017279836814924,4.1
63,0,1,4.0,808,Casual Dining,"North Indian, Chinese",850.0,Delivery,Banashankari,3.9,6.7464121285733745,6.7
